url,publication_id,title,year,kilometers,currency,price
https://auto.mercadolibre.com.ar/MLA-1480778905-ford-ecosport-15-se-123cv-4x2-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,1480778905,Ford Ecosport 1.5 Se 123cv 4x2,2019,85000,$,9600000
https://auto.mercadolibre.com.ar/MLA-2024040626-ford-ecosport-20-gdi-titanium-170cv-4x2-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,2024040626,Ford Ecosport 2.0 Gdi Titanium 170cv 4x2,2018,79000,US$,18700
https://auto.mercadolibre.com.ar/MLA-1478748489-ford-ecosport-15-freestyle-123cv-2018-inmaculada-bruno-m-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,1478748489,Ford Ecosport 1.5 Freestyle 123cv 4x2,2018,148000,$,19300000
https://auto.mercadolibre.com.ar/MLA-2020440868-ford-ecosport-15-titanium-123cv-4x2-manual-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,2020440868,Ford Ecosport 1.5 Titanium 123cv 4x2 Manual,2019,74800,$,19900000
https://auto.mercadolibre.com.ar/MLA-2020453666-ford-ecosport-20-xlt-plus-4x2-liv-motors-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,2020453666,Ford Ecosport 2.0 Xlt Plus 4x2,2009,148000,US$,9200
https://auto.mercadolibre.com.ar/MLA-2019257266-ford-ecosport-20-gdi-storm-170cv-4x4-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,2019257266,Ford Ecosport 2.0 Gdi Storm 170cv 4x4,2019,89000,US$,20500
https://auto.mercadolibre.com.ar/MLA-1477549941-ford-ecosport-15-se-123cv-4x2-at-78000km-2018-fran-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,1477549941,Ford Ecosport 1.5 Se 123cv 4x2 Automática,2018,78000,$,19000000
https://auto.mercadolibre.com.ar/MLA-2013210578-ford-ecosport-freestyle-16-mt-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,2013210578,Ford Ecosport 1.6 Freestyle 110cv 4x2,2016,68500,$,18499900
https://auto.mercadolibre.com.ar/MLA-2010278496-ford-ecosport-15-titanium-123cv-4x2-forcammo-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,2010278496,Ford Ecosport 1.5 Titanium 123cv 4x2,2018,121000,$,21500000
https://auto.mercadolibre.com.ar/MLA-2007806490-usados-autofrance-ford-ecosport-15-se-123cv-4x2-mk-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,2007806490,Ford Ecosport 1.5 Se 123cv 4x2,2018,91800,$,17200000
https://auto.mercadolibre.com.ar/MLA-1478961137-ford-ecosport-16-se-110cv-4x2-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,1478961137,Ford Ecosport 1.6 Se 110cv 4x2,2014,126000,US$,12900
https://auto.mercadolibre.com.ar/MLA-2011462408-ford-ecosport-16-my10-xls-4x2-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,2011462408,Ford Ecosport 1.6 My10 Xls 4x2,2012,121000,US$,11000
https://auto.mercadolibre.com.ar/MLA-1470554643-ford-ecosport-16-se-110cv-4x2-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=f6f16842-db90-4af5-8b0d-663dfb5d1a0a,1470554643,Ford Ecosport 1.6 Se 110cv 4x2,2015,143726,$,15400000
