url,publication_id,title,year,kilometers,currency,price
https://auto.mercadolibre.com.ar/MLA-1480508053-ford-focus-2-18-tdci-trend-plus-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1480508053,Ford Focus 2 1.8 Tdci Trend Plus,2013,166523,US$,8000
https://auto.mercadolibre.com.ar/MLA-2022597104-ford-focus-iii-16-sedan-s-_JM#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2022597104,Ford Focus Iii 1.6 Sedan S,2019,87000,$,8397100
https://auto.mercadolibre.com.ar/MLA-2021498284-ford-focus-iii-16-sedan-s-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2021498284,Ford Focus Iii 1.6 Sedan S,2019,87000,$,17989900
https://auto.mercadolibre.com.ar/MLA-2020362940-ford-focus-iii-20-se-plus-at6-liv-motors-liv-motors-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2020362940,Ford Focus Iii 2.0 Se Plus At6,2014,115000,US$,12500
https://auto.mercadolibre.com.ar/MLA-1478216499-ford-focus-20-se-4pts-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1478216499,Ford Focus Iii 2.0 Se,2015,113900,$,14600000
https://auto.mercadolibre.com.ar/MLA-1478164041-ford-focus-iii-16-s-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1478164041,Ford Focus Iii 1.6 S,2017,154625,$,17400000
https://auto.mercadolibre.com.ar/MLA-2012558610-ford-focus-iii-16-s-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2012558610,Ford Focus Iii 1.6 S,2014,76000,$,14900000
https://auto.mercadolibre.com.ar/MLA-1475709399-ford-focus-iii-20-titanium-at6-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1475709399,Ford Focus Iii 2.0 Titanium At6,2017,106000,$,19500000
https://auto.mercadolibre.com.ar/MLA-2011450974-ford-focus-iii-20-sedan-titanium-2016-unico-dueno-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2011450974,Ford Focus Iii 2.0 Sedan Titanium At6,2016,105000,US$,15300
https://auto.mercadolibre.com.ar/MLA-2017436926-ford-focus-kinetic-design-5-puertas-16-s-2017-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2017436926,Ford Focus Iii 1.6 S,2016,121937,$,17000000
https://auto.mercadolibre.com.ar/MLA-1479722385-ford-focus-iii-20-se-plus-mt-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1479722385,Ford Focus Iii 2.0 Se Plus Mt,2017,90450,$,18499980
https://auto.mercadolibre.com.ar/MLA-1477782667-ford-focus-iii-16-s-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1477782667,Ford Focus Iii 1.6 S,2017,145000,US$,13300
https://auto.mercadolibre.com.ar/MLA-2015589792-ford-focus-iii-20-se-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2015589792,Ford Focus Iii 2.0 Se,2017,145000,$,17000000
https://auto.mercadolibre.com.ar/MLA-2013301726-ford-focus-iii-20-se-plus-at6-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2013301726,Ford Focus Iii 2.0 Se Plus At6,2015,95000,US$,14500
https://auto.mercadolibre.com.ar/MLA-2012482138-ford-focus-iii-20-se-at6-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2012482138,Ford Focus Iii 2.0 Se At6,2019,65500,$,19490000
https://auto.mercadolibre.com.ar/MLA-2015406716-ford-focus-iii-20-sedan-titanium-mt-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2015406716,Ford Focus Iii 2.0 Sedan Titanium Mt,2016,121000,$,18900000
https://auto.mercadolibre.com.ar/MLA-2012365152-ford-focus-iii-20-titanium-at6-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2012365152,Ford Focus Iii 2.0 Titanium At6,2018,93000,$,22400000
https://auto.mercadolibre.com.ar/MLA-2024853810-ford-focus-20-5p-titanium-l16-2016-92000-kms-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2024853810,Ford Focus Iii 2.0 Titanium At6,2016,92000,US$,17900
https://auto.mercadolibre.com.ar/MLA-1476809173-ford-focus-iii-16-s-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1476809173,Ford Focus Iii 1.6 S,2014,97000,$,11000000
https://auto.mercadolibre.com.ar/MLA-2009269140-ford-focus-at-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2009269140,Ford Focus Iii 2.0 Se Plus At6,2017,90000,US$,16500
https://auto.mercadolibre.com.ar/MLA-1480404673-ford-focus-iii-20-se-plus-mt-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1480404673,Ford Focus Iii 2.0 Se Plus Mt,2017,77500,$,20500000
https://auto.mercadolibre.com.ar/MLA-1479616127-ford-focus-iii-20-se-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1479616127,Ford Focus Iii 2.0 Se,2018,99000,$,18500000
https://auto.mercadolibre.com.ar/MLA-2021024016-ford-focus-2-20-trend-plus-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2021024016,Ford Focus 2 2.0 Trend Plus,2013,175000,$,12300000
https://auto.mercadolibre.com.ar/MLA-1479600693-ford-focus-iii-20-se-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1479600693,Ford Focus Iii 2.0 Se,2017,99000,US$,14000
https://auto.mercadolibre.com.ar/MLA-2003409188-ford-focus-iii-20-titanium-at6-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2003409188,Ford Focus Iii 2.0 Titanium At6,2017,106000,$,19500000
https://auto.mercadolibre.com.ar/MLA-1477036787-ford-focus-2-motor-20-cadenero-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1477036787,Ford Focus 2 2.0 Trend,2009,169000,US$,8400
https://auto.mercadolibre.com.ar/MLA-1477919203-ford-focus-iii-16-sedan-s-vv-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1477919203,Ford Focus Iii 1.6 Sedan S,2015,100000,$,9800000
https://auto.mercadolibre.com.ar/MLA-2011969032-ford-focus-iii-20-se-plus-at6-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2011969032,Ford Focus Iii 2.0 Se Plus At6,2017,106000,$,19500000
https://auto.mercadolibre.com.ar/MLA-2011275802-ford-focus-iii-16-sedan-s-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2011275802,Ford Focus Iii 1.6 Sedan S,2019,145000,$,18500000
https://auto.mercadolibre.com.ar/MLA-1477521729-ford-focus-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1477521729,Ford Focus Iii 2.0 Se Plus At6,2018,101000,US$,15500
https://auto.mercadolibre.com.ar/MLA-1480815467-ford-focus-iii-20-se-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1480815467,Ford Focus Iii 2.0 Se,2015,170000,US$,14500
https://auto.mercadolibre.com.ar/MLA-1480565947-ford-focus-iii-16-s-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,1480565947,Ford Focus Iii 1.6 S,2015,118000,$,15300000
https://auto.mercadolibre.com.ar/MLA-2021037018-ford-ka-15-s-no-fiesta-no-focus-no-mondeo-an-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2021037018,Ford Ka 1.5 S,2016,131600,$,13000000
https://auto.mercadolibre.com.ar/MLA-2018276438-ford-focus-iii-16-s-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2018276438,Ford Focus Iii 1.6 S,2017,107000,$,17000000
https://auto.mercadolibre.com.ar/MLA-2018273676-ford-focus-iii-16-sedan-s-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=efee5e97-a6fa-4039-a30f-aaa4a8c3354f,2018273676,Ford Focus Iii 1.6 Sedan S,2016,93000,$,13800000
